date,ym,n_eligible,n_universe,n_pool,n_nyse_breakpoint,n_p1,n_p10,bp_unique
1963-07-31,196307,1900,1927,1998,1116,372,152,9
1963-08-30,196308,1898,1922,2004,1119,353,162,9
1963-09-30,196309,1902,1931,2016,1118,294,197,9
1963-10-31,196310,1900,1930,2029,1116,424,131,9
1963-11-29,196311,1896,1940,2135,1116,320,152,9
1963-12-31,196312,1901,2004,2300,1121,294,189,9
1964-01-31,196401,1900,1986,2192,1118,254,192,9
1964-02-28,196402,1896,1930,2036,1123,359,177,9
1964-03-31,196403,1903,1933,2016,1127,342,159,9
1964-04-30,196404,1907,1936,2012,1133,257,178,9
1964-05-28,196405,1914,1934,2001,1135,344,166,9
1964-06-30,196406,1915,1946,2039,1139,283,171,9
1964-07-31,196407,1917,1954,2040,1136,295,173,9
1964-08-31,196408,1916,1935,2006,1138,321,151,9
1964-09-30,196409,1921,1951,2033,1139,316,163,9
1964-10-30,196410,1922,1952,2039,1139,318,172,9
1964-11-30,196411,1927,1961,2146,1141,326,147,9
1964-12-31,196412,1934,2051,2375,1147,327,155,9
1965-01-29,196501,1940,2023,2218,1150,299,197,9
1965-02-26,196502,1943,1973,2065,1148,351,163,9
1965-03-31,196503,1938,1973,2067,1148,312,159,9
1965-04-30,196504,1944,1977,2066,1149,360,167,9
1965-05-28,196505,1954,1976,2054,1158,316,164,9
1965-06-30,196506,1959,1996,2102,1164,316,162,9
1965-07-30,196507,1969,2006,2096,1170,263,206,9
1965-08-31,196508,1969,1987,2058,1171,288,209,9
1965-09-30,196509,1976,2010,2090,1170,260,224,9
1965-10-29,196510,1971,1997,2077,1169,225,208,9
1965-11-30,196511,1969,2004,2203,1169,332,189,9
1965-12-31,196512,1975,2106,2441,1169,346,181,9
1966-01-31,196601,1979,2040,2190,1167,320,170,9
1966-02-28,196602,1981,2015,2114,1167,341,175,9
1966-03-31,196603,1980,2017,2125,1172,346,181,9
1966-04-29,196604,1988,2022,2106,1171,302,172,9
1966-05-31,196605,1994,2016,2109,1172,313,199,9
1966-06-30,196606,1995,2052,2199,1178,235,238,9
1966-07-29,196607,1998,2030,2100,1183,279,221,9
1966-08-31,196608,2000,2016,2080,1192,277,224,9
1966-09-30,196609,1999,2034,2134,1192,269,281,9
1966-10-31,196610,2006,2036,2117,1192,241,254,9
1966-11-30,196611,2010,2034,2192,1193,154,344,9
1966-12-30,196612,2011,2128,2428,1196,243,202,9
1967-01-31,196701,2009,2081,2257,1197,267,223,9
1967-02-28,196702,2010,2044,2146,1197,340,181,9
1967-03-31,196703,2011,2044,2132,1198,415,144,9
1967-04-28,196704,2010,2036,2101,1198,327,167,9
1967-05-31,196705,2019,2035,2092,1195,319,176,9
1967-06-30,196706,2015,2050,2149,1197,345,164,9
1967-07-31,196707,2021,2054,2123,1195,351,169,9
1967-08-31,196708,2017,2031,2084,1200,290,182,9
1967-09-29,196709,2017,2045,2120,1196,334,175,9
1967-10-31,196710,2008,2038,2122,1188,384,141,9
1967-11-30,196711,2003,2032,2168,1187,403,170,9
1967-12-29,196712,1998,2076,2296,1183,300,214,9
1968-01-31,196801,1994,2064,2220,1167,346,194,9
1968-02-29,196802,1976,2004,2097,1163,373,156,9
1968-03-29,196803,1972,2011,2120,1162,289,228,9
1968-04-30,196804,1974,2001,2083,1161,258,209,9
1968-05-31,196805,1974,2005,2105,1158,251,185,9
1968-06-28,196806,1980,2017,2107,1160,343,166,9
1968-07-30,196807,1967,1997,2054,1157,305,172,9
1968-08-30,196808,1957,1970,2026,1157,278,189,9
1968-09-30,196809,1969,1999,2085,1156,284,173,9
1968-10-31,196810,1976,2004,2078,1155,274,185,9
1968-11-29,196811,1973,1999,2124,1154,245,203,9
1968-12-31,196812,1975,2050,2257,1154,235,226,9
1969-01-31,196901,1973,2034,2180,1155,392,144,9
